title,authors,publisher,blurb
Con total libertad,  Zadie Smith Elisa Beuter,Penguin Random House Grupo Editorial,"Un libro cargado de agudeza, frescura y empatía que nos ilumina en un mundo cada vez más cambiante y contradictorio. Zadie Smith ha demostrado ser una ensayista brillante y singular, haciendo que cada texto suyo sea un acontecimiento literario por derecho propio. Con total libertad, que recopila algunos de los más celebrados, abarca el amplísimo rango de intereses de Smith: desde todas las facetas de la cultura y la libertad artística hasta los temas más acuciantes de la política y la actualidad, siempre desde una perspectiva original y radicalmente personal. Gracias a su fina agudeza, una frescura contagiosa y una empatía extraordinaria, este libro es una guía imprescindible para entender un mundo, el nuestro, cada vez más complejo y contradictorio. La crítica ha dicho... «Ecléctica en sus gustos y centrífuga en su estilo, Zadie Smith disfruta, como articulista, de ampliar los límites de su pensamiento [...] En la línea de Hazlitt y Orwell, Woolf y Angela Carter.» The Financial Times «Interesante, sagaz [...] ¿Se debe leer este libro brillante? ¡Por supuesto que sí!» The Independent «Un libro inteligente, ingenioso y a menudo hilarante que demuestra que [Zadie Smith] es una de las mentes más brillantes de la literatura británica de hoy en día.» NPR «Es un placer exquisito observar a Zadie Smith pensar a lo largo de estas páginas.» The New York Times Book Review «Smith lleva a la escriturade artículos sus dotes como novelista: buen ojo para el detalle, sutiles giros en las frases.» The Boston Globe «Estos ensayos en su conjunto reflejan una mente abierta, vivaz, natural, rigurosa, erudita y seria, ocupada en perfeccionar su manera de ver la vida, la literatura y la relación entre ambas. Smith demuestra que es mucho más que una cabeza adulta y comprensiva sobre unos hombros muy jóvenes.Y lo demuestra con su apasionada, compulsivamente dialéctica y atractiva indagación de la literatura». Los Angeles Times «No importa sobre lo que escriba -su padre, Kafka, Liberia, George Clooney-: colocar cualquier tema dentro del campo magnético de su cerebro incansable basta para volverlo fascinante. Smith tiene el don de mostrarnoscómo lee y piensa; al ver cómo lo hace, uno se siente a su vez más inteligente y observador por ósmosis.» Read Full Overview"
"Test sobre la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil. Tomo III", José R Gomis Fuentes,Independently published,"Test sobre la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil. Tomo III  Test con 1975 preguntas de respuesta alternativa que abordan en profundidad esta norma esencial en el ámbito de las oposiciones públicas relacionadas con la Justicia y el Derecho, así como la Administración Pública en general. Una obra en la que los conceptos principales se abordan desde varias perspectivas y con las cuestiones redactadas desde varios ángulos para abordar dichos conceptos en profundidad. Incluye conceptos jurídicos esenciales para el acceso a la función pública.  Una obra muy específica y especializada e imprescindible para el acceso a empleo público e interesados del ámbito del derecho en general, sobre la normativa que regula los aspectos jurídicos y que aborda cuestiones tanto sobre el articulado como sobre el contenido de todos los artículos en dicha Ley. Una norma de una importancia crucial en los ámbitos de la justicia y el derecho, así como de la administración de justicia en particular. Un título especialmente interesante para todos aquellos que desean preparar el acceso a Función Pública."
Documentación e informes en consumo. COMT0110, María José Sorlózano González,IC Editorial,"Libro especializado que se ajusta al desarrollo de la cualificación profesional y adquisición de certificados de profesionalidad. Manual imprescindible para la formación y la capacitación, que se basa en los principios de la cualificación y dinamización del conocimiento, como premisas para la mejora de la empleabilidad y eficacia para el desempeño del trabajo."
Supera el miedo a volar, Kamy G,Yessica Garcia,"Para que una persona aprenda a superar el miedo a volar, debe entender qué causa ese miedo. Esto es muy importante para que sepa cuáles son las mejores formas posibles de adaptarse a estos miedos. A pesar de la confiabilidad de los viajes aéreos, muchas personas todavía desarrollan miedo a volar. Si conoces a un amigo que está en riesgo o que ya tiene miedo a volar, puedes ayudarlo a superarlo. Lo que puede hacer es actuar como un confidente en sus viajes con la mayor frecuencia posible. Cada año aumenta el número de personas a las que les cuesta superar el miedo a volar. NECESITAS ESTE LIBRO AHORA"
Historia de un cualquiera, Bernardo Pérez,Amazon Digital Services LLC - Kdp,"¿Quiénes somos en realidad?¿Acaso la persona que toma el metro o camina hacia el trabajo día a día es la misma a quien miramos al espejo?Historia de un cualquiera de Bernardo Pérez es una novela narrada en primera persona que nos relata la historia de Carlos, un fervoroso lector de Muarakami, amante serial de cafeterías y las charlas largas en ellas, un hombre con una sombra tan oscura y sucia como el asfalto de la Ciudad de México que acoge esta historia. Un recordatorio que nos convierte en la tercera persona en el relato de alguien más. El remplazo, la invisibilidad y el anhelo de una vida simple y despreocupada se combinan en ésta, la nueva novela de Bernardo Pérez para recordarnos la fragilidad de la mente en los tiempos presentes."
Nostalgia represiva, Francisco García González,Blurb,"La nostalgia es una trampa y en ella puede caer cualquier cosa. Empezando por nosotros mismos. Y como buena trampa a cierta distancia parece inofensiva. Francisco García va conduciendo hasta ella todo lo que encuentra: recuerdos infantiles o el miedo como forma de vida. Pero, si miramos con atención, entenderemos mejor el delicado mecanismo de la trampa. Delicado y omnívoro, como el de este libro que incluye lo mismo recuerdos del autor como objetivo ocasional de la no tan secreta policía secreta cubana que su aporte a la felizmente frustrada construcción del Chernóbil caribeño. O ""Nostalgia batistiana"", uno de los cuentos más divertidos que haya leído nunca, armado con materiales particularmente atroces. Ya lo dije: la nostalgia es una trampa. Y la literatura, otra."
Datos sobre los Armadillo (Libro de hechos para niñas), Geneva Linus,Independently published,Datos sobre los Armadillo (Libro de hechos para niñas)
Devocional sobre 2 Samuel, Charles Simeon,FELIPE CHAVARRO POLANÍA INC,"Charles Simeon fue un clérigo y teólogo inglés del siglo XVIII y XIX, conocido por su defensa del evangelio y su trabajo en la Iglesia de Inglaterra. Nació en Reading, Berkshire, en 1759 y estudió en el King's College de Cambridge. Después de ser ordenado como sacerdote, sirvió como cura en la Iglesia de Holy Trinity en Cambridge durante más de 50 años. Simeon es conocido por su labor misionera y por sus esfuerzos para promover la reforma en la Iglesia de Inglaterra. También es conocido por sus escritos teológicos y devocionales, incluyendo el libro ""Devocional Sobre 2 Samuel""."
Los Diarios de Adán y Eva,  Mark Twain Arnulfo de la Fuente,Ingertelsa Group,"""Los Diarios de Adán y Eva"" es una obra de Mark Twain, uno de los escritores más importantes de la literatura estadounidense. La obra consiste en una serie de cuentos cortos que presentan una visión satírica y humorística sobre la creación y el Jardín del Edén. En los cuentos, Twain explora temas como el matrimonio, la igualdad y el papel de la mujer en la sociedad, utilizando su ingenio y sentido del humor para hacer comentarios críticos sobre la sociedad de su época. La obra es considerada una de las más importantes de Twain y es reconocida por su ingenio y humor. Además de ser un clásico de la literatura, ""Los Diarios de Adán y Eva"" es una obra popular que ha sido adaptada a diferentes formatos, incluyendo audiolibros, teatro y televisión. Narrado en Español Latino Neutro."
EL DR. SILKWORTH EN ALCOHÓLICOS ANÓNIMOS,  Oslos Molina Oslos Molina,Experiencias AA,"Bill decía frecuentemente que el programa de A.A. tenía una gran deuda con la religión y la medicina. Atribuía el méritode la aportación religiosa al Grupo Oxford y al Dr. Sam Shoemaker y al mismo tiempo indicaba que nuestros principiosespirituales eran de gran antigüedad y universales, propiedad común de la humanidad. En cuanto a la aportación de la medicina, atribuía gran parte del mérito al Dr. William Duncan Silkworth, el médicoque le había tratado en el Hospital Towns de Nueva York en 1934. La gratitud que sentía por Silky, como él lo llamaba,parecía no tener límites, y en los últimos años del doctor, Bill incluso trató de ayudarlo económicamente. ¿Cuáles fueron las principales aportaciones del Dr. Silkworth a Bill y a A.A.? Hubo varias. Una importante fue instruir a Bill acerca de la naturaleza incurable y mortal del alcoholismo como “una alergia corporal unida a una obsesión de la mente.” El Dr. Silkworth se convertiría en un fuerte defensor de la creencia de que el alcoholismo tiene una causa física además de causas mentales y emocionales. Él defendería esta creencia en artículos publicados en revistas médicas. Otra aportación fue su respuesta comprensiva y favorable a la iluminación espiritual que Bill tuvo en el Hospital Towns en diciembre de 1934, un experiencia que puso a Bill en el camino hacia la sobriedad permanente y cambió para siempre su vida. (Otro médico podría haber considerado esa experiencia como una señal de mayor aberración en vez de un posible punto de cambio en la recuperación de Bill."
La Inspiración de Rumi: 100 Citas Para Elevar Tu Espíritu, David Smith,Independently published,"En este libro, te sumergirás en la sabiduría y poesía de Rumi, uno de los poetas más influyentes de la historia. Con sus palabras, Rumi nos invita a explorar la profundidad de nuestras almas y a conectarnos con la esencia divina que reside en cada uno de nosotros. Las 100 citas seleccionadas en este libro han sido cuidadosamente elegidas para inspirarte, elevar tu espíritu y conectarte con tu ser interior. Cada una de ellas es una invitación a la reflexión y a la introspección, a través de las cuales podrás descubrir nuevos aspectos de ti mismo y encontrar respuestas a las preguntas más profundas de la vida. La sabiduría de Rumi es atemporal y universal, y su mensaje de amor, compasión y conexión con el universo resuena en todo el mundo. Este libro es una guía para aquellos que buscan una vida más significativa y una conexión más profunda con el mundo que les rodea. Sumérgete en ""La Inspiración de Rumi"" y descubre cómo estas 100 citas pueden ayudarte a elevar tu espíritu y transformar tu vida."
El Derecho como objeto de investigación: Enfoques metodológicos y técnicas de recolección de datos, Elmer Arce Ortíz,Palestra Editores,"Este libro es una presentación de la investigación jurídica, que incluye referencias tangenciales a temas y metodologías de otras disciplinas vinculadas a ella, elaborado por un profesor universitario de Derecho que ha investigado, escrito y publicado varios libros y artículos académicos. Por consiguiente, conoce el tema que ha desarrollado y tiene, adicionalmente, el aprendizaje invalorable de la experiencia en el trabajo de investigación. Se trata de un libro metodológico de la investigación jurídica, con una concepción precisa de lo que se estudia en el Derecho, con conciencia de la importancia que tiene el método para desarrollar adecuadamente el tema de investigación elegido, con un estilo sencillo y comprensible, muchos ejemplos y, a la vez, rigurosidad intelectual. Muy útil para quienes deban realizar investigación jurídica, bien camino hacia la tesis de bachillerato, bien para la elaboración de trabajos de maestría y doctorado incluyendo, a su vez, las respectivas tesis de grado. Del Prólogo Marcial Antonio Rubio Correa ELMER ARCE ORTÍZ es abogado por la Pontificia Universidad Católica del Perú y Doctor en Derecho por la Universidad de Cádiz, España. Es Profesor Principal del Departamento de Derecho de la Pontificia Universidad Católica del Perú. Fue Director de la Maestría de Derecho del Trabajo y de la Seguridad Social de la Pontificia Universidad Católica del Perú. El 2011 se desempeñó como Director General de Inspecciones del Trabajo en el Ministerio de Trabajo y Promoción del Empleo. En la legislatura 2016-2017 se desempeñó como Asesor Principal de la Comisión de Trabajo del Congreso de la República. El 2019 recibió la Orden del Trabajo en el grado de Comendador. Entre sus obras destacan La nulidad del despido lesivo de derechos constitucionales (Lima, 1999), La circulación de trabajadores en el grupo de empresa (Sevilla, 2003), Teoría del derecho (Lima, 2013), El sistema de inspección de trabajo en el Perú (Lima, 2020), Derecho individual del trabajo en el Perú (Lima, 2021). Además, ha publicado diversos artículos en varias revistas especializadas."
